Location,Bait,Start,End,Transition,Weather,"Predator, Amount",Tug,Hookset,Gathering,Snagging?,Fish Eyes?,ID
Blue Medusa,Red Balloon,,,,,,,,,,,371
Letter Puffer,Giant Crane Fly,,,,,,,,,,,393
Dragon's Soul,Giant Crane Fly,,,,,,,,,,,397
Sunsail,Giant Crane Fly,15,17,,"Clear Skies, Fair Skies",,,Powerful,,,,442
The Soul of the Martyr,Giant Crane Fly,4,6,,"Clear Skies, Fair Skies",,,,,,,470
Sohm Al Summit,,,,,,,,,,,,70305
Sky Faerie,Red Balloon,,,,,,,,,,,353
Gloaming Coral,Red Balloon,,,,,,,,,1,,395
Cloud Rider,Red Balloon,,,,,,,,,,,360
Rudderfish,Giant Crane Fly,,,,,,,,,,,405
Gobbie Mask,Giant Crane Fly,,,,,,,,,,,370
Star Faerie,Red Balloon,,,,,,,Precision,,,,394
Pteranodon,Giant Crane Fly,9,17,,,,,Powerful,,,,421
Dimorphodon,Rudderfish,,,Clear Skies,Gales,,,Powerful,,,1,475
Tharl Oom Khash,,,,,,,,,,,,70306
Sky Faerie,Red Balloon,,,,,,,,,,,353
Cloud Rider,Red Balloon,,,,,,,,,,,360
Rudderfish,Giant Crane Fly,,,,,,,,,,,405
Manasail,Rudderfish,10,14,,"Clear Skies, Fair Skies",,,Powerful,,,,384
Brown Bolo,Red Balloon,,,,Clouds,,,Powerful,,,,389
Cobrafish,Giant Crane Fly,,,,,,,Powerful,,,,413
Storm Chaser,Giant Crane Fly,,,,,,,,,,,435
Nyctosaur,Giant Crane Fly,,,,,,,,,,,454
Bloodchaser,Giant Crane Fly,,,Clear Skies,Gales,,,,,,1,499
Raimdellopterus,Rudderfish,5,8,,Gales,"Rudderfish, 5",,Powerful,,,,505
Diadem Grotto,,,,,,,,,,,,80102
Thunderbolt Eel,Brute Leech,22,4,,,,,Powerful,,,,428
Noontide Oscar,Brute Leech,,,,,,,,,,,368
Goldsmith Crab,Bladed Steel Jig,,,,,,,,,,,450
Crown Trout,Stonefly Nymph,,,,,,,,,,,447
Retribution Staff,Purse Web Spider,,,,,,,,,,,448
Southern Diadem Lake,,,,,,,,,,,,80103
Maiboi,Stonefly Nymph,,,,,,,,,,,328
Bullfrog,Bladed Steel Jig,,,,,,,,,,,330
Cloudfish,Purse Web Spider,,,,,,,,,,,331
Yalm Lobster,Bladed Steel Jig,,,,,,,,,,,418
Goldsmith Crab,Bladed Steel Jig,,,,,,,,,,,450
Crown Trout,Stonefly Nymph,,,,,,,,,,,447
Retribution Staff,Purse Web Spider,,,,,,,,,,,448
Northern Diadem Lake,,,,,,,,,,,,80105
Cloudfish,Stonefly Nymph,,,,,,,,,,,331
Crown Trout,Stonefly Nymph,,,,,,,,,,,447
Retribution Staff,Purse Web Spider,,,,,,,,,,,448
Calm Cloudtop,,,,,,,,,,,,80107
Mahu Wai,Giant Crane Fly,,,,,,,,,,,332
Whiteloom,Red Balloon,,,,,,,Precision,,,,335
Blue Cloud Coral,Red Balloon,,,,,,,,,1,,336
Mitre Slug,Red Balloon,,,,,,,,,,,344
Eurhinosaur,Giant Crane Fly,,,,,,,,,,,445
Gem Marimo,Giant Crane Fly,,,,,,,,,,,446
Pterodactyl,Giant Crane Fly,,,,,,,,,,,444
Swirling Cloudtop,,,,,,,,,,,,80108
Vampiric Tapestry,Giant Crane Fly,,,,,,,,,,,434
Moogle Spirit,Giant Crane Fly,,,,,,,,,,,414
Eurhinosaur,Giant Crane Fly,,,,,,,,,,,445
Pterodactyl,Giant Crane Fly,,,,,,,,,,,444
Blustery Cloudtop,,,,,,,,,,,,80106
Buoyant Oviform,Giant Crane Fly,,,,,,,,,,,334
Mahu Wai,Giant Crane Fly,,,,,,,,,,,332
Mitre Slug,Red Balloon,,,,,,,,,,,344
Blue Cloud Coral,Red Balloon,,,,,,,,,1,,336
Pterodactyl,Giant Crane Fly,,,,,,,,,,,444
Upper Mirage Creek,,,,,,,,,,,,90101
Abalathian Bitterling,Salmon Roe,,,,,,,Precision,,,,514
Broken Crab,Salmon Roe,,,,,,,,,,,517
Gyr Abanian Trout,Midge Larva,,,,,,,,,,,531
Miounnefish,Gyr Abanian Trout,,,,"Clouds, Fog",,,Powerful,,,,518
Bloodsipper,Gyr Abanian Trout,,,,,,,,,,,532
Hookstealer,Gyr Abanian Trout,,,,,,,,,,,760
Rhalgr's Reach,,,,,,,,,,,,90102
Golden Cichlid,Salmon Roe,,,,,,,,,,,513
Temple Carp,Salmon Roe,,,,,,,Precision,,,,519
Gyr Abanian Trout,Midge Larva,,,,,,,,,,,531
Monk Betta,Gyr Abanian Trout,,,,,,,,,,,533
Electric Catfish,Midge Larva,,,,,,,Powerful,,,,548
Pagan Pirarucu,Gyr Abanian Trout,,,,,,,Powerful,,,,566
Watcher Catfish,Gyr Abanian Trout,,,,Thunder,,,Powerful,,,,808
The Outer Fist,,,,,,,,,,,,90103
Comet Minnow,Suspending Minnow,,,,,,,,,,,512
Balloon Frog,Nightcrawler,,,,,,,,,,,520
Lantern Marimo,Suspending Minnow,,,,,,,Precision,,,,521
Bloodsipper,Salmon Roe,,,,,,,,,,,532
Gilfish,Nightcrawler,,,,,,,Precision,,,,534
Redtail,Balloon Frog,,,,"Clouds, Fog",,,Powerful,,,,750
Bloodtail Zombie,Balloon Frog,8,12,,Clouds,,,Powerful,,,,809
Timmon Beck,,,,,,,,,,,,90201
Steelhead Trout,Suspending Minnow,,,,,,,,,,,516
Balloon Frog,Nightcrawler,,,,,,,,,,,520
Miounnefish,Balloon Frog,,,,"Clouds, Fog",,,Powerful,,,,518
Death Loach,Salmon Roe,,,,,,,,,,,549
Gyr Abanian Chub,Salmon Roe,,,,,,,,,,,742
Hardhead Trout,Stonefly Larva,16,20,,,,,Powerful,,,,810
Xenacanthus,Hardhead Trout,16,20,,,,,Powerful,,,,840
Dimwold,,,,,,,,,,,,90202
Miounnefish,Stonefly Larva,,,,"Clouds, Fog",,,Powerful,,,,518
Bone Melter,Salmon Roe,,,,,,,,,,,524
Fallen Leaf,Suspending Minnow,,,,,,,Precision,,,,525
Padjali Loach,Salmon Roe,,,,,,,,,,,530
Cave Killifish,Suspending Minnow,,,,,,,,,,,553
Wraithfish,Stonefly Larva,0,4,,Fog,,,,,,1,635
Chakrafish,Salmon Roe,,,,,,,Powerful,,,,837
Sapphire Fan,Stonefly Larva,,,,Thunder,,,Precision,,,,761
The Comet's Tail,,,,,,,,,,,,90203
Bone Melter,Salmon Roe,,,,,,,,,,,524
Falling Star,Salmon Roe,,,,"Clouds, Fog",,,,,,,535
Capsized Squeaker,Salmon Roe,16,19,,,,,Precision,,,,536
Nirvana Crab,Salmon Roe,,,,"Clouds, Fog",,,Powerful,,,,537
Cardinalfish,Suspending Minnow,19,23,,"Clouds, Fog",,,,,,,735
Lake Sphairai,Salmon Roe,,,,,,,,,,,775
The Archbishop,Suspending Minnow,12,16,,,,,Powerful,,,,762
The Velodyna River,,,,,,,,,,,,90204
Velodyna Grass Carp,Nightcrawler,,,,,,,,,,,526
Greenstream Loach,Salmon Roe,,,,,,,,,,,528
Bloodsipper,Salmon Roe,,,,,,,,,,,532
Black Velodyna Carp,Salmon Roe,,,,,,,,,,,568
Deep Velodyna Carp,Salmon Roe,,,,,,,,,,,
Velodyna Salmon,Nightcrawler,,,,,,,Powerful,,,,745
Downstream Loach,Stonefly Larva,,,,Fog,,,,,,,811
Mirage Creek,,,,,,,,,,,,90205
Highland Perch,Salmon Roe,,,,,,,Powerful,,,,527
Mirage Chub,Salmon Roe,,,,,,,,,,,529
Gravel Gudgeon,Salmon Roe,,,,,,,Precision,,,,538
Rhalgr's Bolt,Salmon Roe,,,,,,,Powerful,,,,554
Mirage Mahi,Stonefly Larva,4,8,,,,,Powerful,,,,747
Corpse Chub,Suspending Minnow,20,24,,Clear Skies,,,Powerful,,,,812
Grymm & Enid,,,,,,,,,,,,90301
Death Loach,Salmon Roe,,,,,,,,,,,549
Grymm Crab,Nightcrawler,,,,,,,,,,,550
Enid Shrimp,Nightcrawler,,,,,,,Precision,,,,567
Curefish,Salmon Roe,,,,,,,,,,,774
Bondsplitter,Suspending Minnow,,,,Dust Storms,,,Powerful,,,,763
Drepanaspis,Suspending Minnow,,,,Dust Storms,"Bondsplitter, 2",,Powerful,,,,841
The Slow Wash,,,,,,,,,,,,90302
Idle Goby,Salmon Roe,,,,,,,Powerful,,,,515
Rapids Jumper,Nightcrawler,,,,,,,Powerful,,,,522
Gyr Abanian Trout,Midge Larva,,,,,,,,,,,531
Heather Charr,Suspending Minnow,,,,,,,Powerful,,,,547
Death Loach,Salmon Roe,,,,,,,,,,,549
Invisible Crayfish,Nightcrawler,,,,,,,,,,,551
The Undecided,Gyr Abanian Trout,8,12,,,,,Powerful,,,,764
Heather Falls,,,,,,,,,,,,90303
Adamantite Bichir,Suspending Minnow,,,,,,,Powerful,,,,523
Death Loach,Salmon Roe,,,,,,,,,,,549
Abalathian Salamander,Suspending Minnow,,,,,,,Precision,,,,552
Steelshark,Suspending Minnow,,,,Clear Skies,,,Precision,,,,627
Purple Buckler,Midge Larva,,,,,,,Powerful,,,,746
The Last Tear,Salmon Roe,,,Fog,Fair Skies,,,Powerful,,,,813
The Ephor,,,,,,,,,,,,90304
Heather Charr,Suspending Minnow,,,,,,,Powerful,,,,547
Meditator,Suspending Minnow,,,,,,,Powerful,,,,612
Stonytongue,Suspending Minnow,,,,,,,Powerful,,,,613
Deemster,Stonefly Larva,,,,Wind,,,Powerful,,,,631
Moksha,Suspending Minnow,,,"Clouds, Wind, Fog, Dust Storms",Clear Skies,,,,,,,815
The Bull's Bath,,,,,,,,,,,,90305
Death Loach,Salmon Roe,,,,,,,,,,,549
Invisible Crayfish,Nightcrawler,,,,,,,,,,,551
Bull's Bite,Midge Larva,,,,"Clouds, Dust Storms, Fog, Wind",,,Powerful,,,,600
Peeping Pisces,Midge Larva,,,,,,,Powerful,,,,601
Meditator,Suspending Minnow,,,,,,,Powerful,,,,612
Alligator Snapping Turtle,Suspending Minnow,,,,"Clear Skies, Fair Skies",,,Powerful,,,,749
Hemon,Suspending Minnow,16,20,,Clouds,,,Powerful,,,,814
The Arms of Meed,,,,,,,,,,,,90306
Gyr Abanian Trout,Midge Larva,,,,,,,,,,,531
Gigant Bass,Stonefly Larva,,,,,,,Powerful,,,,602
Eastern Pike,Suspending Minnow,,,,"Clear Skies, Fair Skies",,,Powerful,,,,607
Scimitarfish,Suspending Minnow,,,,,,,Powerful,,,,614
Ala Mhigan Ribbon,Suspending Minnow,,,,,,,Precision,,,,619
Rockfish,Suspending Minnow,12,16,,"Clouds, Dust Storms, Fog, Wind",,,,,,,736
Lily of the Veil,Suspending Minnow,,,Clear Skies,Fair Skies,,,Precision,,,,822
Loch Seld,,,,,,,,,,,,90401
Rock Saltfish,Silkworm,,,,,,,Powerful,,,,608
Saltshield Snapper,Silkworm,,,,,,,Powerful,,,,611
Whitehorse,Silkworm,,,,,,,Precision,,,,624
Pearl-eye,Rock Saltfish,,,,,,,Powerful,,,,626
Sculptor,Rock Saltfish,12,18,,Thunderstorms,,,,,,1,625
Saltmill,Rock Saltfish,,,,"Clouds, Fog",,,Powerful,,,,752
Diamond-eye,Rock Saltfish,,,,Clear Skies,,,Powerful,,,1,765
Stethacanthus,Rock Saltfish,16,18,,,"Sculptor, 2",,Powerful,,,,842
The Ruby Price,,,,,,,,,,,,100101
Grinning Anchovy,Live Shrimp,,,,,,,,,,,539
Glass Herring,Live Shrimp,,,,,,,,,,,540
Coeurl Snake Eel,Live Shrimp,,,,,,,Powerful,,,,546
Coral Horse,Live Shrimp,,,,,,,Precision,,,,743
Ku'er,Blue Bobbit,0,8,Thunder,Clouds,,,Powerful,,,,817
The Ruby Dragon,Ku'er,4,8,Thunder,Clouds,,,Powerful,,,,843
Hells' Lid,,,,,,,,,,,,100102
Grinning Anchovy,Live Shrimp,,,,,,,,,,,539
Hellyfish,Live Shrimp,,,,,,,,,,,541
Ruby Shrimp,Live Shrimp,,,,,,,,,,,545
Blockhead,Ruby Shrimp,,,,,,,,,,,615
Liopleurodon,Ruby Shrimp,,,,Thunder,,,Powerful,,,,618
Ukiki,Blue Bobbit,8,12,,Wind,,,Powerful,,,,737
Shrieker,Ruby Shrimp,,,,,,,Powerful,,,,757
Wicked Wartfish,Bream Lure,,,,,,,Powerful,,,,838
The Vegetarian,Ruby Shrimp,20,24,,Thunder,,,Powerful,,,,823
The Isle of Bekko,,,,,,,,,,,,100103
Grinning Anchovy,Live Shrimp,,,,,,,,,,,539
Hellyfish,Live Shrimp,,,,,,,,,,,541
Ruby Shrimp,Live Shrimp,,,,,,,,,,,545
Dafu,Ruby Shrimp,,,,,,,,,,,556
Glass Tuna,Ruby Shrimp,,,,,,,,,,,605
Tawny Wench Shark,Blue Bobbit,10,18,,Clear Skies,,,Powerful,,,1,609
Usuginu Octopus,Ruby Shrimp,,,,,,,Powerful,,,,751
Seven Stars,Blue Bobbit,10,18,Thunder,Fair Skies,,,,,,,824
Fatty Herring,Metal Spinner,,,,,,,,,,,3314
Shoal Rock,,,,,,,,,,,,100104
Grinning Anchovy,Live Shrimp,,,,,,,,,,,539
Ruby Coral,Live Shrimp,,,,,,,,,1,,542
Sapphire Coral,Live Shrimp,,,,,,,,,1,,543
Bone Coral,Live Shrimp,,,,,,,,,1,,544
Butterfly Fish,Blue Bobbit,,,,,,,,,,,555
Harutsuge,Blue Bobbit,,,,,,,Precision,,,,628
Harutsuge Sprag,Live Shrimp,,,,,,,Precision,,,,
Ruby Laver,Live Shrimp,,,,,,,,,,,836
The Winter Queen,Blue Bobbit,16,20,,,,,,,,,768
Onokoro,,,,,,,,,,,,100105
Ruby Shrimp,Live Shrimp,,,,,,,,,,,545
Leaf Tatsunoko,Ruby Shrimp,,,,,,,,,,,557
Glass Flounder,Ruby Shrimp,,,,,,,,,,,558
Blackfin Snake Eel,Blue Bobbit,,,,,,,Powerful,,,1,621
Swordfish,Blue Bobbit,8,16,,"Clouds, Wind",,,Powerful,,,1,632
Giant Plesiosaur,Live Shrimp,,,,,,,Powerful,,,,
Argonautica,Ruby Shrimp,,,,Wind,,,Powerful,,,,818
Hook Fish,Metal Spinner,,,,,,,,,,,3312
Isari,,,,,,,,,,,,100106
Glass Herring,Live Shrimp,,,,,,,,,,,540
Gliding Fish,Bream Lure,,,,,,,Powerful,,,,559
Globefish,Live Shrimp,,,,,,,Powerful,,,,560
Fan Clam,Live Shrimp,,,,,,,Powerful,,1,,561
Ruby Meagre,Bream Lure,,,,,,,Powerful,,,,563
Triplespine,Blue Bobbit,5,7,,,,,Precision,,,,748
Shirogane Clam,Live Shrimp,,,,,,,,,,,777
Pinhead,Live Shrimp,16,24,"Clear Skies, Fair Skies",Thunder,,,,,,,825
The Isle of Zekki,,,,,,,,,,,,100107
Ruby Shrimp,Live Shrimp,,,,,,,,,,,545
Daio Squid,Ruby Shrimp,,,,,,,Powerful,,,,603
Koromo Octopus,Ruby Shrimp,,,,,,,Powerful,,,,604
Zekki Grouper,Ruby Shrimp,,,,,,,,,,,610
Zekki Gator,Ruby Shrimp,,,,,,,Powerful,,,,634
Rakshasa,Ruby Shrimp,,,,Thunder,,,Powerful,,,,769
The Heron's Nest,,,,,,,,,,,,100201
Doman Trout,Nightcrawler,,,,,,,,,,,571
Doman Crayfish,Nightcrawler,,,,,,,Precision,,,,575
Maiden's Heart,Nightcrawler,,,,,,,Precision,,,,744
Pomegranate Trout,Nightcrawler,,,,Rain,,,Powerful,,,1,826
The Heron's Way,,,,,,,,,,,,100202
River Barramundi,Nightcrawler,,,,,,,Powerful,,,,564
Doman Trout,Nightcrawler,,,,,,,,,,,571
Doman Crayfish,Nightcrawler,,,,,,,Precision,,,,575
Glarramundi,Suspending Minnow,,,Fair Skies,Clear Skies,,,,,,,827
Namai,,,,,,,,,,,,100203
Nogoi,Nightcrawler,,,,,,,Powerful,,,,565
Hermit's End,Stonefly Larva,20,24,,Clear Skies,,,Powerful,,,,828
The One River (East),,,,,,,,,,,,100208
Yanxian Koi,Nightcrawler,,,,,,,Powerful,,,,569
Longhair Catfish,Suspending Minnow,,,,,,,Powerful,,,,570
Doman Trout,Nightcrawler,,,,,,,,,,,571
Yanxian Barramundi,Nightcrawler,,,,,,,Powerful,,,,572
Kotsu Zetsu,Suspending Minnow,,,,,,,,,,,616
Othardian Salmon,Nightcrawler,,,,,,,,,,,839
Axelrod,Stonefly Larva,0,6,Clouds,Fair Skies,,,,,,,830
The One River (West),,,,,,,,,,,,100209
Longhair Catfish,Suspending Minnow,,,,,,,Powerful,,,,570
Doman Trout,Nightcrawler,,,,,,,,,,,571
Kotsu Zetsu,Suspending Minnow,,,,,,,,,,,616
Seraphim,Suspending Minnow,16,24,,,,,Powerful,,,,620
Hagoromo Bijin,Stonefly Larva,,,Clouds,"Clear Skies, Fair Skies",,,Powerful,,,,819
Plum Spring,,,,,,,,,,,,100210
Doman Trout,Nightcrawler,,,,,,Medium,,,,,571
Kotsu Zetsu,Suspending Minnow,,,,,,,,,,,616
Pandamoth,Midge Larva,10,18,,,,,Powerful,,,,617
Silken Koi,Stonefly Larva,,,,Rain,,,Powerful,,,1,629
Plum Gazer,Midge Larva,,,,,,,,,,,633
Petal Shell,Signature Skyball,,,,,,Light,Precision,,,,
Hagoromo Koi,Stonefly Larva,,,,Fog,,,,,,1,771
Prism Canyon,,,,,,,,,,,,100205
Doman Trout,Nightcrawler,,,,,,,,,,,571
Doman Crayfish,Nightcrawler,,,,,,,Precision,,,,575
Doman Eel,Midge Larva,,,,,,,,,,,584
The Unraveled Bow,Suspending Minnow,12,16,,Fog,,,Powerful,,,,831
Prism Lake,,,,,,,,,,,,100204
Yellow Prismfish,Suspending Minnow,,,,,,,,,,,598
Blue Prismfish,Suspending Minnow,,,,,,,,,,,599
Violet Prismfish,Stonefly Larva,0,4,,,,,Powerful,,,,738
Red Prismfish,Stonefly Larva,4,8,,,,,Powerful,,,,755
White Goldfish,Red Prismfish,4,8,,,,,,,,,758
Firelight Goldfish,Red Prismfish,4,8,,,,,Precision,,,,759
Indigo Prismfish,Violet Prismfish,0,4,,,,,Precision,,,,806
Green Prismfish,Stonefly Larva,0,16,Fair Skies,"Clear Skies, Fair Skies",,,,,,,807
Warden of the Seven Hues,Stonefly Larva,,,,,"Indigo Prismfish, 3, Firelight Goldfish, 3, Green Prismfish, 5",,,,,,844
Mercantile Docks,,,,,,,,,,,,100207
Doman Trout,Nightcrawler,,,,,,,,,,,571
Doman Grass Carp,Midge Larva,20,4,,,,,Powerful,,,,592
Lordly Salmon,Midge Larva,,,,,,,,,,,597
Kotsu Zetsu,Suspending Minnow,,,,,,,,,,,616
Suiten Ippeki,Stonefly Larva,16,24,Fair Skies,Showers,,,Powerful,,,,829
Doma Castle,,,,,,,,,,,,100206
Doman Trout,Nightcrawler,,,,,,,,,,,571
Samurai Fish,Midge Larva,,,,,,,Precision,,,,593
Blank Oscar,Midge Larva,,,,,,,,,,,595
Dragonfish,Suspending Minnow,,,,,,,,,,,596
Raitonfish,Suspending Minnow,,,,"Rain, Showers",,,Powerful,,,,606
Bokuden,Stonefly Larva,12,14,,,,,,,,,770
Nem Khaal,,,,,,,,,,,,100301
Killifish,Midge Larva,,,,Clear Skies,,,Precision,,,,574
Zagas Khaal,Nightcrawler,,,,,,,,,,,577
Othardian Trout,Zagas Khaal,,,,,,,,,,,576
Steppe Skipper,Midge Larva,,,,,,,Precision,,,,578
Dawn Crayfish,Zagas Khaal,,,,,,,Precision,,,,580
Garden Skipper,Midge Larva,8,12,Fair Skies,Clear Skies,,,,,,,833
Hak Khaal,,,,,,,,,,,,100302
Zagas Khaal,Nightcrawler,,,,,,,,,,,577
Curtain Pleco,Suspending Minnow,,,,,,,Powerful,,,,581
Dry Steppe Skipper,Midge Larva,,,,,,,Precision,,,,586
Dusk Crayfish,Zagas Khaal,,,,,,,,,,,588
Hak Bitterling,Stonefly Larva,0,4,,Rain,,,,,,1,623
Banderole,Zagas Khaal,0,8,Fair Skies,Fog,,,Powerful,,,,834
Upper Yat Khaal,,,,,,,,,,,,100303
Tail Mountains Minnow,Midge Larva,,,,,,,Precision,,,,573
Zagas Khaal,Nightcrawler,,,,,,,,,,,577
Dry Steppe Skipper,Midge Larva,,,,,,,Precision,,,,586
Skytear,Midge Larva,,,,,,,Precision,,,,587
Dusk Crayfish,Zagas Khaal,,,,,,,,,,,588
Sunshell,Midge Larva,,,,,,,,,,,779
Fatty Eel,Salmon Roe,,,,,,,,,,,786
Leatherscale,Salmon Roe,,,,,,,,,,,796
Appleseed,Salmon Roe,,,,,,,,,,,803
Blade Skipper,Suspending Minnow,4,8,,Fog,,,,,,,821
Azim Khaat,,,,,,,,,,,,100304
Zagas Khaal,Nightcrawler,,,,,,,,,,,577
Othardian Trout,Zagas Khaal,,,,,,,,,,,576
Sun Bass,Midge Larva,,,,,,,Powerful,,,,579
Hardscale,Suspending Minnow,,,,,,,,,,,591
Sweatfish,Stonefly Larva,,,,,,,Precision,,,,622
Guppy,Stonefly Larva,16,20,,"Clear Skies, Fair Skies",,,,,,,739
Water Fan,Salmon Roe,,,,,,,,,,,781
Gigas Catfish,Salmon Roe,,,,,,,,,,,789
Greasy Strangler,Salmon Roe,,,,,,,,,,,792
Spikefish,Salmon Roe,,,,,,,,,,,798
Duskfish,Zagas Khaal,8,16,"Rain, Gales",Clouds,,,Powerful,,,,820
Tao Khaal,,,,,,,,,,,,100305
Zagas Khaal,Nightcrawler,,,,,,,,,,,577
Dry Steppe Skipper,Midge Larva,,,,,,,Precision,,,,586
Dusk Crayfish,Zagas Khaal,,,,,,,,,,,588
Bowfish,Midge Larva,,,,,,,,,,,589
Tao Bitterling,Midge Larva,,,,,,,Precision,,,,594
The Word of God,Stonefly Larva,20,24,,,,,,,,,772
Fish Offering,Salmon Roe,,,,,,,,,,,785
Zagas A'khaal,Salmon Roe,,,,,,,,,,,788
Steppe Sweetfish,Salmon Roe,,,,,,,,,,,791
Moon Oyster,Salmon Roe,,,,,,,,,,,795
Elder Gourami,Zagas Khaal,,,,"Fog, Clouds",,,Powerful,,,,756
Lower Yat Khaal,,,,,,,,,,,,100306
Zagas Khaal,Nightcrawler,,,,,,,,,,,577
Othardian Trout,Zagas Khaal,,,,,,,,,,,576
Steppe Skipper,Midge Larva,,,,,,,Precision,,,,578
Dawn Crayfish,Zagas Khaal,,,,,,,Precision,,,,580
Yat Goby,Midge Larva,,,,,,,Precision,,,,582
Jade Sculpin,Midge Larva,,,,,,,Precision,,,,590
Yat Khan,Stonefly Larva,,,,Wind,,,Precision,,,,773
Crimson Copperfish,Salmon Roe,,,,,,,,,,,787
Dusk Scallop,Salmon Roe,,,,,,,,,,,797
Granite Hardscale,Salmon Roe,,,,,,,,,,,801
Fishy Fish,Salmon Roe,,,,,,,,,,,805
Dotharl Khaa,,,,,,,,,,,,100307
Brassfish,Nightcrawler,,,,,,,,,,,585
Nhaama's Boon,Midge Larva,,,,,,,Powerful,,,,583
Steppe Barramundi,Salmon Roe,,,,,,,,,,,780
Arrowhead Snail,Salmon Roe,,,,,,,,,,,782
Plump Trout,Salmon Roe,,,,,,,,,,,802
Crawling Cog,Salmon Roe,,,,,,,,,,,804
Nhaama's Treasure,Suspending Minnow,4,8,Rain,"Clear Skies, Fair Skies",,,Powerful,,,,832
The Unconditional,Stonefly Larva,5,7,Rain,Clear Skies,,Heavy,,,,,845
Kugane Piers,,,,,,,,,,,,110101
Grinning Anchovy,Live Shrimp,,,,,,,,,,,539
Ruby Shrimp,Live Shrimp,,,,,,,,,,,545
Striped Fugu,Ruby Shrimp,,,,,,,,,,,562
Glass Tuna,Ruby Shrimp,,,,,,,,,,,605
Hanatatsu,Ruby Shrimp,,,,,,,,,,,630
Ribbon Eel,Ruby Shrimp,,,,,,,Precision,,,,754
Rising Dragon,Ruby Shrimp,,,,,,,Powerful,,,,766
Shirogane,,,,,,,,,,,,110201
Grinning Anchovy,Live Shrimp,,,,,,,,,,,539
Ruby Shrimp,Live Shrimp,,,,,,,,,,,545
Striped Fugu,Ruby Shrimp,,,,,,,,,,,562
Glass Tuna,Ruby Shrimp,,,,,,,,,,,605
The Gambler,Blue Bobbit,,,,,,,Powerful,,,,767
The Silver Canal,,,,,,,,,,,,110202
Nogoi,Nightcrawler,,,,,,,Powerful,,,,565
Doman Trout,Nightcrawler,,,,,,,,,,,571
Killifish,Midge Larva,,,,Clear Skies,,,Precision,,,,574
Brassfish,Nightcrawler,,,,,,,,,,,585
Bonsai Fish,Nightcrawler,,,,,,,Precision,,,,753
Princess Killifish,Nightcrawler,4,6,,,,,Precision,,,,816
Ruby Price Depths,,,,,,,,,,,,100151
Wentletrap,Small Gig Head,,,,,,,,,,,638
Black Boxfish,Normal Gig Head,,,,,,,,,,,639
Spider Crab,Large Gig Head,,,,,,,,,,,648
Hatchetfish,Small Gig Head,,,,,,,,,,,656
Threadfish,Normal Gig Head,,,,,,,,,,,657
Corpse-eater,Large Gig Head,,,,,,,,,,,665
Tamamizu,,,,,,,,,,,,100152
Wentletrap,Small Gig Head,,,,,,,,,,,638
Glass Manta,Large Gig Head,,,,,,,,,,,640
Little Dragonfish,Normal Gig Head,,,,,,,,,,,649
Garden Eel,Small Gig Head,,,,,,,,,,,658
Ronin Trevally,Large Gig Head,,,,,,,,,,,666
Swordtip,Normal Gig Head,,,,,,,,,,,673
Sui–no–Sato,,,,,,,,,,,,100153
Regal Silverside,Small Gig Head,,,,,,,,,,,641
Little Dragonfish,Normal Gig Head,,,,,,,,,,,649
Black Fanfish,Large Gig Head,,,,,,,,,,,650
Eastern Sea Pickle,Small Gig Head,,,,,,,,,,,659
Toothsome Grouper,Large Gig Head,,,,,,,,,,,667
False Scad,Normal Gig Head,,,,,,,,,,,674
The Adventure,,,,,,,,,,,,100154
Regal Silverside,Small Gig Head,,,,,,,,,,,641
Black Boxfish,Normal Gig Head,,,,,,,,,,,639
Zebra Shark,Large Gig Head,,,,,,,,,,,651
Brindlebass,Large Gig Head,,,,,,,,,,,660
Horned Turban,Small Gig Head,,,,,,,,,,,668
Snow Crab,Normal Gig Head,,,,,,,,,,,675
Shisui of the Violet Tides,,,,,,,,,,,,100155
Snowflake Moray,Normal Gig Head,,,,,,,,,,,642
Nophica's Comb,Small Gig Head,,,,,,,,,,,652
Black Fanfish,Large Gig Head,,,,,,,,,,,650
Demon Stonefish,Normal Gig Head,,,,,,,,,,,661
Ruby Sea Star,Small Gig Head,,,,,,,,,,,669
Red-eyed Lates,Large Gig Head,,,,,,,,,,,676
The One River Southwestern Riverbeds,,,,,,,,,,,,100251
Hoppfish,Small Gig Head,,,,,,,,,,,643
Lightscale,Large Gig Head,,,,,,,,,,,644
Warty Wartfish,Normal Gig Head,,,,,,,,,,,653
Gauntlet Crab,Small Gig Head,,,,,,,,,,,670
Common Bitterling,Normal Gig Head,,,,,,,,,,,677
Fifty-summer Cod,Large Gig Head,,,,,,,,,,,678
The One River Southern Riverbeds,,,,,,,,,,,,100252
Grass Fugu,Normal Gig Head,,,,,,,,,,,645
Giant Eel,Large Gig Head,,,,,,,,,,,646
Common Whelk,Small Gig Head,,,,,,,,,,,654
Armored Crayfish,Small Gig Head,,,,,,,,,,,662
Bighead Carp,Large Gig Head,,,,,,,,,,,663
Hermit Goby,Normal Gig Head,,,,,,,,,,,671
Imperial Hypersonic Assault Craft L-XXIII,,,,,,,,,,,,100253
Kamina Crab,Small Gig Head,,,,,,,,,,,647
Grass Fugu,Normal Gig Head,,,,,,,,,,,645
Hairless Barb,Large Gig Head,,,,,,,,,,,655
Zeni Clam,Small Gig Head,,,,,,,,,,,664
Nagxian Mullet,Normal Gig Head,,,,,,,,,,,679
